agency,user_bureau,application_name,year_activated,application_description,database_contents,status,confidentiality,method_of_access,pdf_page
OFFICE OF MANAGEMENT & BUDGET,,CAPIS,,"and DATABASE CONTENTS The capital Information systems, CAPIS, is software for developing and maintaining the City's capital commitment Plan, the Request, Executive and Adopted BUdgets and the three-year Capital Program. Bi-annually CAPIS produces the City's Ten Year capital Plan which sets forth the city's programmatic goals for capital improvement. CAPIS is a CICS (customer' Information and Control System) online system. Application programs are written in command level COBOL, and many call modules or routines are assembler macros. within CAPIS there are two subsystems, the Design, Award and Construction system (DACS,) and the Ten Year Plan. CAPIS includes approximately 100 on-line screens and associated programs, which provide inquiry and update functions to users. In addition to the online system there are 25 to 30 batch programs which support CAPIS and DACS. In CAPIS the basic entity is the CAPIS project which contain location, scope, and schedule information along with forecasts of capital commitments from all funding sources. within each CAPIS project commitment forecast are details called occurrences which represent either a complete capital contract with amount and commitment date or a part of a capital contract. Each detail consists of codes which describe the type of work, the funding (budget line), a date, and the funded amount (City Exempt, Non-exempt, Federal, State or Private. Each CAPIS project mas an approval status or Financial status Code (FSC). A project mas approved status if OMB changes the four character FSC to an ""approved"" FSC starting with ""EX"" or ""PL"". When a project is approved CAPIS generates an approved detail equal to the agency's forecast, OMB may elect to change the timing or the amount of the approved detail, thus a CAPIS project may have a variance between the agency's estimates and OMB's approved estimates. CAPIS contains approximately 10,800 approved projects of which 4,500 are active in the current four year program. These active projects contain about 9,000 details or occurrences.",,,,,123
OFFICE OF MANAGEMENT & BUDGET,,COKMUNXTY BOARD REPORTS 1981 Register of Community Board Requests 1986 Various Geographic Capital Reports,,"OMB's Office of community Board Relations publishes various bUdget documents for release as part of the preliminary, Executive and Adopted BUdgets. The capital bUdget documents fulfill the requirements of Charter section 214a3.","1. The Geographic Report for the Capital BUdget contains cost estimates of site specific capital projects for the next fiscal year and the three succeeding years sorted by community district. Appropriations-to-date and expenditures-to-date are included for each project. Also listed are borough and citywide projects. 2. The Geographic capital commitment Plan is organized by community district and shows the capital appropriations and commitments for the current fiscal year and the next thee years for all active capital bUdget projects, and project implementation schedules which give the best estimate of the completion time for activities such as scope, design and construction. 3. The Geographic capital Detail Data Report shows each CAPXS project (capital project) within a bUdget line. Sorted by community district, available information includes bUdget costs, an implementation schedule, project location and a scope summary. For projects supported by community boards, this report crosswalks the bUdget lines and CAPXS detail with the community board tracking code. 4. The Register of Community Board BUdget Requests publishes the responses to the capital and expense bUdget requests submitted by the community boards. Agency, OMB and Adopted BUdget funding recommendations are presented for the successive stages of the bUdget process (Charter section B and 212).",,,,124
OFFICE OF MANAGEMENT & BUDGET,,QUARTERLY ALLOCATION SYSTEM,1977,"and DATABASE CONTENTS In accordance with section 106(b) of the City Charter, the Mayor shall establish Quarterly spending Allotments and aggregate position and salary limits for each unit of appropriation within an agency. TheQuarterlyAllocation System (QAS) is used to'plan and monitor monthly spending by agency. Expenditure plans are maintained by Personal Service (e.g. salaries, overtime, etc.) and Other Than Personal Services (e.g. equipment, rent, etc.). Agencies are required to remain within their spending plan hy unit of appropriation and funding source. The QAS supports various fiscal monitoring exercises which include cashflow, variance reporting and surplus/needs exercises. Expenditure forecasts for the City's cashflow are prepared each month. Variance reports on dollars and employee headcount are issued monthly to the agencies with a comparison between their actuals and plan. Any overspending/underspending that mas occurred must be explained by the agency. This system provides early warnings on overspending and enables an agency to take corrective action. The surplus/needs analysis projects variances for the remainder of the current fiscal year for each agency, and surpluses and needs are balanced out across agencies to ensure that on an aggregate basis the City is within budget. The QAS data supports development of the Four Year Financial Plan.",,,,,125
"DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES",,Expenditure by Contract,Fiscal 1988,Tracks monthly expenditures of contract agencies.,"Financial accounting, Expense budget/expenditures.",,,,127
"DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES",,"Mental ,Hygiene Service Directory",Fiscal 1989,"Profiles service providers by listing type of service rendered, service location, and client demographics.","Address directory, demographic statistics.",,,,127
"DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES",,Levels of Service by Contract,Fiscal 1987,Tracks monthly units of service rendered by contract agencies.,Administrative reports.,,,,127
"DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES",,Budget by Contract,Fiscal 1986,Itemizes dollar amounts from each funding source that contributes to a contract.,Service contracts.,,,,127
"DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES",,Priority Agency Review council,Fiscal 1986,Performance deficiencies (or lack thereof) are itemized for each service provider.,Management reporting.,,,,128
DEPARTMENT OF PARKS AND RECREATION,,ABCD site Rating System,1984,"The ABCD site Rating system maintains all ratings data on properties and playgrounds undergoing ABCD, Neighborhood Parks Restoration (NPR), Audit, and Jointly operated Playground inspections. The ratings are based upon the conditions found in the parks during inspection. inspections were suspended in June 1991.","A4ministrative reports, building/structure inspections, inspection reports, public facilities inspections, public safety inspections, quality control inspections, inventory, parklands.",,,,130
DEPARTMENT OF PARKS AND RECREATION,,capital projects Tracking system,1987,"The capital Projects Tracking system (CPTS) is a project management tool for all capital projects. The system comprises five modUles: XnterFund Agreement, Management Services, Design status, Construction, and a Consultant/Contractor database.","Capital construction contracts, capital budget/expenditures, address directory, contractor directory, capital construction contractors, capital projects, building constructions.",,,,130
DEPARTMENT OF PARKS AND RECREATION,,Computer Aided Drafting and Design,1987,The CADD system provides automation of drafting and design functions to the Parks Capital Projects Design unit.,"Land use, capital projects, building modifications/repairs, building energy usage, building constructions.",,,,130
DEPARTMENT OF PARKS AND RECREATION,,Concession Billing System,1989,"CBS tracks contract information, leasing, gross receipts, and payment records for all concession contracts. Report categories include Concessions Information, Permit information, Property/Location Reports, Billing, Payments Reports, and Revenue Reports.","property amenities/concessions, parklands, insurance certificates, parks , recreation licenses, financial reporting, revenue collection, revenue/expenditure statistics, vendor licenses/permits, fee collections/accounting.",,,,131
